t0,t1,t6,t7,t139,Target
-0.11252183,-2.8272037999999995,-2.1814082000000004,-1.8182865,0.19313742,1.0
-1.1008778,-3.9968398,-1.5661258,-0.99225766,-1.4362499,1.0
-0.56708802,-2.5934502,-1.7429401999999998,-1.4906585,-0.42179659,1.0
0.49047253,-1.9144071,-2.9932802000000005,-1.6711314,-0.38356426,1.0
0.80023202,-0.87425189,-2.5345096000000003,-1.7834233,1.4214563,1.0
-1.5076736000000002,-3.57455,-1.4810482,-1.3013622,-0.78313438,1.0
-0.297161,-2.7666349,-2.3005176,-1.2939171,-0.82338562,1.0
0.44676853,-1.5073974,-2.3116038,-1.5977275,-0.99947589,1.0
0.08763057699999999,-1.7534903000000002,-2.2672676,-1.570893,-2.4410678,1.0
-0.83228111,-1.7003675,-2.2857261,-1.555512,0.96581366,1.0
0.08443012800000001,-3.1903071,-1.7605895,-1.5929641,-0.020783419,1.0
-0.0078191379,-2.3367567000000005,-1.9224567,-1.6705388,0.39306323,1.0
-1.0743015,-3.2593996,-1.9460608,-1.554774,-1.0949732,1.0
4.0581274,2.0878442,-3.8361573,-1.9750063,-1.4898633,1.0
-0.76160326,-2.9212432999999995,-2.5328155,-1.6873964,-0.38125681,1.0
-0.18649962,-2.6824878,-1.9739404,-1.6397073,0.18005396,1.0
0.80393944,-1.1069098999999998,-3.2908875,-2.1893642000000004,-1.6556465,1.0
-0.92021269,-2.4495095,-3.1562282,-2.0225688,-1.0404894,1.0
2.7446026000000003,-0.10192395,-2.6809699,-1.441639,-1.9219276,1.0
2.4028692000000005,2.036719,-3.3983068,-2.0793023,1.7691982,1.0
-1.3622631,-3.3530235,-2.049291,-1.5296725,-2.2346511,1.0
1.9354139,-0.54876161,-3.044811,-1.6656151999999995,-1.2487458,1.0
-1.862747,-3.2036327,-2.1004304,-1.6623015,-0.61002273,1.0
-0.99857184,-2.8897248,-1.7001959999999998,-1.5611073999999998,0.65421129,1.0
-0.28834122,-2.2725454,-1.8749167,-1.5312511999999998,1.2959242,1.0
0.53974315,0.66577827,-3.9606595,-2.6571292,0.037302077,1.0
-1.1812944,-2.3030416,-2.8633193,-1.8925259,-0.45100638,1.0
1.5319341,0.92006083,-3.2619857000000003,-2.3102226000000003,1.9345383000000005,1.0
-3.5278988,-5.117621400000001,-1.3063794,-0.95246355,-0.91239468,1.0
-0.77586665,-3.4141412000000004,-2.4578752,-1.2954523999999998,-1.9802592,1.0
-0.03594174,-0.27819632,-0.42173103,-0.34688683,-0.34628536,1.0
-1.3132285,-1.9628833,-1.3467619,-0.97069563,-2.7488784,1.0
-2.0956639,-4.182035,-1.7487328000000002,-1.449283,-1.4804925,1.0
-0.65713662,-1.4969218,-2.1598373,-1.7090852,1.5575253,1.0
1.0066612,-0.7129770999999999,-2.2244663,-1.8241457,1.1701989,1.0
0.30348816,-1.7968885,-2.0192505,-1.6992668999999998,0.35073325,1.0
-0.83354058,-1.4633151000000002,-3.381966,-2.0106879,-0.40873099,1.0
-0.869182,-2.2065865,-2.2406109,-1.7115846,1.5419344,1.0
0.1940386,-2.6269766,-1.9064297,-1.6267002000000002,-1.2848233,1.0
1.381994,0.36621607,-3.8526331,-2.1658699,0.23907783,1.0
0.8601815,-0.1418624,-2.5727398,-1.9410837,0.57393333,1.0
-0.50162131,-1.0885841,-2.8737203,-1.9517084,2.854707,1.0
-0.53334196,-1.8556681,-2.2562981,-1.7656979,0.31686028,1.0
0.85178389,-1.4862776000000002,-1.9312018,-1.5690898000000002,-0.0026400714,1.0
0.40506333,-1.4921666999999998,-2.3130153,-1.7258490000000002,0.83962996,1.0
-2.3427142999999995,-3.6641543,-2.8876227,-1.9336296,-0.51970985,1.0
-0.83081234,-3.0505616,-1.9958907,-1.6922747,0.17047779,1.0
0.88416093,-1.904508,-2.3117917,-1.6205118,-0.65829992,1.0
1.1048512,-0.61504694,-2.6293943,-1.7277605,-0.22360552,1.0
-0.69539923,-2.0008649,-3.0958049,-1.9830469,-3.1768335,1.0
-1.2277593999999998,-3.2861576,-1.9718769,-1.5533419,-1.8083547,1.0
-1.3353913,-3.4690114000000003,-2.1571032000000003,-1.3821288,-2.2004852,1.0
-0.57057541,-3.0182942,-1.7560359,-1.5059988000000002,0.48118142,1.0
-0.42019446,-2.2895413,-2.8350787,-1.8828295,0.26392718,1.0
-1.5358419,-3.0086447,-2.379914,-1.566276,-1.2046879,1.0
-1.0052389000000002,-2.4362805,-3.3289629,-2.7792914,-1.5724036,1.0
-0.73224152,-2.8921096,-1.5571537,-1.4357576,0.79922813,1.0
-0.89012079,-2.9627514,-2.3858521,-1.7193198,0.35547544,1.0
-1.167315,-3.8051477,-1.582364,-1.1580407,-0.5541889,1.0
-1.6235661,-3.3997562999999995,-2.1689032000000004,-1.5069663,-1.5092173999999998,1.0
-0.36223864,-1.7844796000000005,-3.1472645,-1.9481881,-1.1414833999999998,1.0
-0.90458107,-3.974634,-1.6360144,-1.3837805,0.28343267,1.0
-2.5949047000000003,-4.1514645,-1.5553702,-1.2006118,-2.411321,1.0
-1.3428388999999998,-3.1055562,-1.8354989,-1.4440245,-2.0197096,1.0
0.32219993,-2.6345683,-1.9352953,-1.7248245999999998,-0.20378086,1.0
1.1074486,-0.83920352,-2.8818302000000005,-1.9358107,-0.065664896,1.0
-1.4269827,-4.148268700000001,-1.6449994,-1.4088778999999998,-2.256678,1.0
0.85885584,-1.2550563,-2.9690448,-1.8737623,1.1440188999999998,1.0
-0.88208927,-2.5597673,-2.0554792,-1.4779624,-1.0000632,1.0
-2.219609,-4.6485875,-1.4693146,-1.2391482,-1.4709013000000002,1.0
-1.1011346000000002,-2.5211165,-3.3264761,-2.1818494,-2.8959768,1.0
-2.0142886000000004,-3.5163341,-1.6105579,-1.3576624,-1.7268328000000002,1.0
0.7868801999999999,0.031393962000000004,-3.4391167,-2.31398,0.39222031,1.0
1.7537712,0.37744734,-3.1651775,-1.9307402,-0.019417742,1.0
1.0515095,-1.4143843,-2.1348325,-1.4856319,0.099279398,1.0
1.9223602,0.32032591,-2.7025635,-1.7715545,0.84024149,1.0
1.8471145,0.23147514,-2.7113817000000004,-2.0427371,0.76635801,1.0
-0.56005725,-3.4351675000000004,-1.4184045,-0.65034052,-1.3420768,1.0
0.70399228,-1.6092852,-2.5813364,-1.3942598,0.52727818,1.0
0.16958503,-2.4959717999999995,-1.8088067,-1.2322256,-3.7951964,1.0
-1.034307,-2.3249589,-2.932826700000001,-1.9988711,-0.98022156,1.0
-1.667531,-3.0360628,-2.6915821,-1.5836212,-2.7240580000000003,1.0
-0.028529653,-2.2894919,-2.9281132000000003,-1.8204221,-2.2525466,1.0
2.1043676,0.34081385,-3.4466867999999997,-2.2484236,-1.2269745,1.0
3.2061228,1.8251657,-2.5308467,-1.2194865,0.14960913,1.0
-2.2435443,-3.1672912,-2.7805333,-2.087116,-1.3512847,1.0
-0.38044502,-2.1178863,-2.4856403,-1.3272653,-0.28898146,1.0
-1.1666652,-2.8432150000000003,-1.8435061,-1.6626146000000002,1.3034121,1.0
-0.59622658,-2.6953161,-2.6277078,-1.751622,-1.8985626,1.0
-0.79079161,-2.739768,-2.5429446,-1.6397644,1.1295895,1.0
-0.13825638,-3.0752273,-1.8483271,-1.4964046,-1.6404849999999995,1.0
1.10779,-2.5699906,-1.9016556,-1.5872571000000002,0.47479309,1.0
1.6844966,-1.0226406,-2.4296871,-1.9516698,1.3834252,1.0
-0.80466851,-2.6118745,-2.5068526,-1.5256957,-1.7965042000000002,1.0
0.45699917,-2.1808877,-2.5148984,-1.760806,0.05957623,1.0
-1.3152739,-3.4270367,-2.0765239,-1.2056343,-0.54727149,1.0
-0.35313554,-2.7596141,-2.3503919,-1.8572152,0.04900274,1.0
2.0459122,0.48354338,-3.0269142,-1.797748,1.9557483,1.0
-1.9842857,-3.2857246,-2.2990298,-1.6401836,0.25798468,1.0
0.0040696227,-2.3710604,-1.9578283,-0.8857033000000001,-1.90162,1.0
0.89008037,-1.0931429,-1.990285,-1.6173654,-0.84221352,1.0
-0.65172542,-3.3865702000000004,-1.7154576,-1.4768908,-1.6634897000000002,1.0
-0.29888217,-2.2209282000000004,-2.1061465,-1.6957414000000002,0.5915854,1.0
-0.21657646,-2.416437,-1.5434532,-1.4598056,-0.1947687,1.0
-0.90540551,-3.1608662,-1.9420583,-1.3316103,-2.3566,1.0
-0.11253034,-2.8297247000000003,-1.9388868,-1.5146356,-0.47900102,1.0
0.29184859,-2.3295333,-1.4734978,-1.0879373,-1.1993878999999998,1.0
-1.0601273,-2.7234793,-2.3443642,-1.3818715,-1.2404331,1.0
-1.6398861,-4.3580581,-1.5184708,-1.3198302,-1.2547946,1.0
0.0080539067,-2.5400592,-2.4431864,-1.7238175999999998,-0.91221148,1.0
-1.2940085,-2.0273012,-3.3063534,-2.3519333,-0.37843019,1.0
-1.5061581,-4.1683676,-1.5099167,-1.3516588,-1.8943839,1.0
-1.9433714,-3.7824631,-1.7732733,-1.2131774,-2.7647989,1.0
0.6818035,-0.75400452,-3.3503212,-1.9626742,-1.099483,1.0
-2.6113457,-1.6082489,-3.1905713,-2.1450959,0.27811036,1.0
-0.77607851,-2.3438972,-2.2053722,-1.5078493,-2.095715,1.0
0.48081834,-1.0990084,-2.6708137,-1.7452245,2.0972996,1.0
1.5085773999999998,1.212097,-3.636682,-2.4539287,1.2776716,1.0
-1.3725014,-3.4753501000000004,-1.6805584999999998,-1.46976,-1.2353354,1.0
-2.9748977,-4.1222603,-1.6993739,-1.3149824,0.0022150092,1.0
-1.1510212,-3.5348763999999995,-2.2706336,-1.812741,0.39087529,1.0
1.4232311000000002,1.6731226000000003,-3.7113841,-2.6519755000000003,1.6100962,1.0
0.17424586,-1.7253563000000005,-2.4921683,-1.5295626,-2.3907203,1.0
0.5300435,-2.1008794,-2.0784632,-0.80147853,-2.1092926,1.0
0.011899162,-0.043893207,-3.6925982,-2.2513854,0.66015129,1.0
-0.16859601,-2.3468404,-2.1940866000000003,-1.5688744,-1.3996091,1.0
0.4066104,-2.0084,-2.1755669,-1.6486577,-0.58660646,1.0
-0.39452983,-3.586584,-1.5827459,-1.2861721000000002,-0.48646838,1.0
0.39572353,-0.3846709,-3.0867291,-1.9531721,0.59960894,1.0
-0.75769293,-2.5620211,-2.6868103,-1.6464286,-1.7097848999999998,1.0
2.5641795,1.6132621,-3.0458721,-1.8263293,0.81471908,1.0
-0.49961665,-2.4715876,-2.3533688,-1.5659118,-3.0502263,1.0
-0.96966351,-2.6475002,-3.1214238,-1.952989,-0.66775082,1.0
-1.0528601999999998,-3.9544183,-1.6911188999999998,-1.508471,-0.31547592,1.0
-0.30466237,-2.032233,-1.8092355,-1.7578203,0.37945486,1.0
-0.72451891,-3.153214,-1.6862645,-1.4769993,1.1946983999999998,1.0
-0.70163057,-1.6036925,-3.6878809,-2.7294496,-1.4899985,1.0
-2.4206185,-3.9156149,-1.682121,-1.3411186000000002,-2.4891042000000003,1.0
0.49946565,-0.93261328,-1.1772442,-0.062557616,-3.9507688,1.0
1.3889488,0.44063656,-3.0958547000000003,-2.1279023,0.13199215,1.0
-1.0044395000000002,-3.7411147,-1.7199628,-1.5564916000000002,-1.8319188,1.0
-2.273653,-3.9478308,-1.6201994,-1.0978449,-1.7071757,1.0
-1.2338991,-1.1443092,-3.7411429,-2.814092,-0.058089408,1.0
-0.16032856,-2.7500664,-1.8631686,-1.4681808,-0.58890855,1.0
-0.75536263,-1.6502063000000002,-3.6119114,-2.6700625,-2.1772967,1.0
-1.4068698999999998,-1.1569459,-1.4096098999999995,-0.80498166,0.20843735,1.0
-0.2171903,-1.7086941999999998,-2.101375,-1.6396448,-0.30749049,1.0
1.0928646999999998,-1.0462221,-2.7321749,-1.7255835,-0.029599322,1.0
-0.90084791,-3.181191,-2.3981662,-2.1257687,1.5842862,1.0
-0.091513512,-1.8879547,-2.4071401000000003,-1.6517972,-0.69555359,1.0
1.0053415,0.75493006,-3.8507994,-2.3220947,-0.62591265,1.0
-2.2215525,-4.2202108,-1.5539316,-1.314122,-0.55323952,1.0
-1.9097521,-3.7890203,-1.6545188000000002,-1.5958885,-0.40092035,1.0
-0.99617901,-3.8769665,-1.5180433999999998,-1.4559031999999998,-0.073028574,1.0
0.030878018,-2.8145432999999995,-1.8923494,-1.4764045,0.1821775,1.0
1.2855536,-0.19329843,-2.9395851000000004,-1.9590998,0.75856209,1.0
-0.94521791,-2.560839,-2.7438416,-1.6000229,-1.2705295,1.0
-2.4032782000000004,-4.199997,-1.4933728000000002,-0.82658602,-1.9741826,1.0
-1.6322553,-3.1991943,-3.0154955,-1.792399,-1.3932617,1.0
0.19562851,-2.6998221,-1.952506,-1.6647038,-1.7409144,1.0
